"Product title","Product variant title","Product variant SKU","Week","Ending inventory units","Inventory units sold"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","2XL","75024","2026-04-20",20,2
"Robes in Emerald","Mia Robe / Short","10182","2026-04-20",11,1
"Finley Romper in Emerald","Emerald / 9-12 Months",,"2026-04-20",82,0
"Lila Labor & Postpartum Gown in Sage","Sage / Petite",,"2026-04-20",5,5
"Amelia Labor & Postpartum Gown in Black","Black / Full Figure","10223","2026-04-20",6,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","75030","2026-04-20",17,0
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Standard","10228","2026-04-20",33,7
"Robes in Midnight Blue","Laura Robe / Long","10904","2026-04-20",75,0
"Finley Romper in Plum","Plum / 6-9 Months","31116","2026-04-20",112,0
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Petite",,"2026-04-20",1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Extra Large","66946","2026-04-20",14,1
"Finley Romper in Periwinkle","Periwinkle / 18-24 Months",,"2026-04-20",19,1
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","12235","2026-04-20",14,1
"Lila Labor & Postpartum Gown in Sage","Sage / Full Figure","10107","2026-04-20",4,9
"Lila Labor & Postpartum Gown in Lilac","Lilac / Full Figure","20006","2026-04-20",1,0
"Amelia Labor & Postpartum Gown in Black","Black / Curve","10270","2026-04-20",9,3
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite",,"2026-04-20",-1,1
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","10212","2026-04-20",64,0
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","940210","2026-04-20",52,59
"Finley Romper in Vintage Floral","Vintage Floral / 18-24 Months","10221","2026-04-20",15,0
"Robes in Periwinkle","Laura Robe / Long","10172","2026-04-20",36,2
"Amelia Labor & Postpartum Gown Lilac","Slim Petite","11307","2026-04-20",15,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","10023","2026-04-20",1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Extra Large","75029","2026-04-20",21,1
"Finley Romper in Midnight Blue","Midnight Blue / 12-16 Months","940220","2026-04-20",20,0
"Baby Swaddle Set: Black","Hat & Bow","10123","2026-04-20",131,4
"Finley Romper in Lilac","Lilac / 3-6 Months","94234","2026-04-20",31,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Standard","45210","2026-04-20",5,4
"Finley Romper in Emerald","Emerald / 6-9 Months","94223","2026-04-20",18,0
"Robes in Deep Teal","Laura Robe / Long","10175","2026-04-20",51,6
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Large","75010","2026-04-20",42,3
"Amelia Labor & Postpartum Gown in Sage","Sage / Standard","10225","2026-04-20",11,5
"Amelia Labor & Postpartum Gown in Sage","Sage / Full Figure","10226","2026-04-20",87,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","10073","2026-04-20",0,3
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-04-20",1,0
"Finley Romper in Periwinkle","Periwinkle / 12-18 Months",,"2026-04-20",19,0
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","45102","2026-04-20",1,0
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Standard","10109","2026-04-20",-1,7
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","62000","2026-04-20",11,3
"Lila Labor & Postpartum Gown in Emerald","Emerald / Slim Petite",,"2026-04-20",16,5
