Product title,Product variant title,Week,Ending inventory units,Inventory units sold
"Finley Romper in Dusty Rose","Dusty Rose / 3-6 Months","2026-05-25","99","0"
"Finley Romper in Black","Black / 6-9 Months","2026-05-25","3","0"
"Robes in Plum","Mia Robe / Short","2026-05-25","8","2"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","2026-05-25","56","5"
"Finley Romper in Plum","Plum / Newborn","2026-05-25","66","2"
"Robes in Dusty Rose","Laura Robe / Long","2026-05-25","25","9"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","2026-05-25","29","3"
"Baby Swaddle Set: Midnight Blue","Hat & Bow","2026-05-25","35","8"
"Robes in Periwinkle","Mia Robe / Short","2026-05-25","27","0"
"Robes in Plum","Laura Robe / Long","2026-05-25","14","3"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","2026-05-25","172","13"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","2026-05-25","98","19"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Full Figure","2026-05-25","85","0"
"TENS Unit for Labor","Default Title","2026-05-25","451","135"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","2026-05-25","59","3"
"Baby Swaddle Set: Plum","Hat & Bow","2026-05-25","-3","0"
"Amelia Labor & Postpartum Gown in Black","Black / Slim Petite","2026-05-25","63","3"
"Finley Romper in Dusty Rose","Dusty Rose / 9-12 Months","2026-05-25","26","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","2XL","2026-05-25","64","2"
"Robes in Emerald","Laura Robe / Long","2026-05-25","0","3"
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","2026-05-25","-3","0"
"Finley Romper in Black","Black / Newborn","2026-05-25","87","4"
"Lila Labor & Postpartum Gown in Black","Black / Standard","2026-05-25","172","69"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Petite","2026-05-25","66","0"
"Finley Romper in Midnight Blue","Midnight Blue / 16-24 Months","2026-05-25","25","0"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","2026-05-25","59","3"
"Robes in Sage","Laura Robe / Long","2026-05-25","40","3"
"Finley Romper in Periwinkle","Periwinkle / 9-12 Months","2026-05-25","20","0"
"Finley Romper in Vintage Floral","Vintage Floral / 12-18 Months","2026-05-25","11","0"
"Finley Romper in Emerald","Emerald / 6-9 Months","2026-05-25","18","0"
"Robes in Lilac","Mia Robe / Short","2026-05-25","41","0"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Standard","2026-05-25","1","3"
"Baby Swaddle Set: Lilac","Hat & Bow","2026-05-25","144","0"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","2026-05-25","46","1"
"Lila Labor & Postpartum Gown in Mocha","Mocha / Full Figure","2026-05-25","0","0"
"Robes in Black","Laura Robe / Long","2026-05-25","43","6"
"Lila Labor & Postpartum Gown in Black","Black / Full Figure","2026-05-25","358","22"
"Baby Swaddle Set: Emerald","Hat & Bow","2026-05-25","-2","2"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Small","2026-05-25","36","1"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","2026-05-25","-1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","2026-05-25","45","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","2XL","2026-05-25","43","0"
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","2026-05-25","76","35"
"Finley Romper in Periwinkle","Periwinkle / 12-18 Months","2026-05-25","19","0"
"Robes in Midnight Blue","Mia Robe / Short","2026-05-25","75","0"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","2026-05-25","-29","0"
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","2026-05-25","64","0"
"Amelia Labor & Postpartum Gown in Plum","Plum / Standard","2026-05-25","42","11"
"Finley Romper in Emerald","Emerald / 18-24 Months","2026-05-25","3","0"
"Finley Romper in Sage","Sage / Newborn","2026-05-25","0","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Small","2026-05-25","58","0"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite","2026-05-25","41","0"
"Finley Romper in Vintage Floral","Vintage Floral / 3-6 Months","2026-05-25","11","0"
"Finley Romper in Deep Teal","Deep Teal / 3-6 Months","2026-05-25","0","0"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite","2026-05-25","2","0"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Curve","2026-05-25","15","1"
"Robes in Deep Teal","Mia Robe / Short","2026-05-25","30","3"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Large","2026-05-25","65","3"
"Amelia Labor & Postpartum Gown Lilac","Full Figure","2026-05-25","10","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","2026-05-25","52","6"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","2026-05-25","9","7"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","2026-05-25","30","9"
"Baby Swaddle Set: Vintage Floral","Hat & Bow","2026-05-25","10","29"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","2026-05-25","38","19"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","2026-05-25","98","49"
"Lila Labor & Postpartum Gown in Plum","Plum / Full Figure","2026-05-25","54","11"
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","2026-05-25","238","23"
"Robes in Sage","Mia Robe / Short","2026-05-25","58","2"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","2026-05-25","74","5"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","2026-05-25","235","25"
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","2026-05-25","63","0"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Curve","2026-05-25","36","3"
"Robes in Periwinkle","Laura Robe / Long","2026-05-25","75","2"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Extra Large","2026-05-25","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","2XL","2026-05-25","45","0"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","2026-05-25","7","11"
"Lila Labor & Postpartum Gown in Mocha","Mocha / Standard","2026-05-25","4","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","2026-05-25","6","19"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","2026-05-25","9","1"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","2026-05-25","92","12"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Small","2026-05-25","42","0"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Curve","2026-05-25","55","0"
"Amelia Labor & Postpartum Gown in Black","Black / Curve","2026-05-25","70","2"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Full Figure","2026-05-25","10","3"
"Robes in Dusty Rose","Mia Robe / Short","2026-05-25","37","5"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","2026-05-25","6","1"
"Finley Romper in Vintage Floral","Vintage Floral / 18-24 Months","2026-05-25","15","0"
"Lila Labor & Postpartum Gown in Plum","Plum / Curve","2026-05-25","42","2"
"Lila Labor & Postpartum Gown in Black","Black / Curve","2026-05-25","165","21"
"Finley Romper in Dusty Rose","Dusty Rose / 6-9 Months","2026-05-25","31","0"
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","2026-05-25","55","4"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Large","2026-05-25","56","3"
