Product title,Product variant title,Week,Ending inventory units,Inventory units sold
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","2026-02-09","2","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Medium","2026-02-09","3","6"
"Finley Romper in Vintage Floral","Vintage Floral / 3-6 Months","2026-02-09","-1","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Medium","2026-02-09","12","4"
"Finley Romper in Vintage Floral","Vintage Floral / 9-12 Months","2026-02-09","5","0"
"Finley Romper in Vintage Floral","Vintage Floral / 12-18 Months","2026-02-09","11","0"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Curve","2026-02-09","30","1"
"Amelia Labor & Postpartum Gown in Black","Black / Full Figure","2026-02-09","38","5"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite","2026-02-09","0","0"
"Finley Romper in Periwinkle","Periwinkle / 9-12 Months","2026-02-09","20","0"
"Baby Swaddle Set: Periwinkle","Hat & Bow","2026-02-09","85","4"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Extra Large","2026-02-09","5","2"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Medium","2026-02-09","0","0"
"Amelia Labor & Postpartum Gown Lilac","Slim Petite","2026-02-09","2","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Small","2026-02-09","14","0"
"Amelia Labor & Postpartum Gown in Plum","Plum / Standard","2026-02-09","1","6"
"Finley Romper in Deep Teal","Deep Teal / 6-9 Months","2026-02-09","20","0"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","2026-02-09","14","1"
"Amelia Labor & Postpartum Gown Lilac","Curve","2026-02-09","5","0"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Standard","2026-02-09","0","36"
"Finley Romper in Deep Teal","Deep Teal / 12-16 Months","2026-02-09","64","0"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","2026-02-09","-1","0"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","2026-02-09","24","7"
"Finley Romper in Vintage Floral","Vintage Floral / 6-9 Months","2026-02-09","9","0"
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","2026-02-09","-11","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","2026-02-09","6","1"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Petite","2026-02-09","7","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Large","2026-02-09","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","2XL","2026-02-09","-1","0"
"Baby Swaddle Set: Black","Hat & Bow","2026-02-09","181","7"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Full Figure","2026-02-09","12","1"
"Finley Romper in Emerald","Emerald / 18-24 Months","2026-02-09","3","0"
"Finley Romper in Midnight Blue","Midnight Blue / 3-6 Months","2026-02-09","-1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","2026-02-09","31","1"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Petite","2026-02-09","1","0"
"Finley Romper in Midnight Blue","Midnight Blue / 12-16 Months","2026-02-09","20","0"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","2026-02-09","1","3"
"Robes in Dusty Rose","Mia Robe / Short","2026-02-09","2","2"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","2026-02-09","10","15"
"Amelia Labor & Postpartum Gown in Black","Black / Curve","2026-02-09","0","0"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","2026-02-09","0","0"
"Amelia Labor & Postpartum Gown in Sage","Sage / Curve","2026-02-09","19","2"
"Finley Romper in Sage","Sage / 3-6 Months","2026-02-09","0","0"
"Baby Swaddle Set: Deep Teal","Hat & Bow","2026-02-09","308","12"
"Amelia Labor & Postpartum Gown in Black","Black / Slim Petite","2026-02-09","2","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Extra Large","2026-02-09","0","3"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Petite","2026-02-09","0","0"
"Baby Swaddle Set: Plum","Hat & Bow","2026-02-09","67","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Extra Large","2026-02-09","0","4"
"Amelia Labor & Postpartum Gown Lilac","Standard","2026-02-09","57","0"
"Finley Romper in Periwinkle","Periwinkle / 12-18 Months","2026-02-09","20","0"
"Robes in Periwinkle","Mia Robe / Short","2026-02-09","7","5"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","2026-02-09","1","0"
"Finley Romper in Black","Black / 9-12 Months","2026-02-09","19","0"
"Finley Romper in Dusty Rose","Dusty Rose / 3-6 Months","2026-02-09","101","0"
"Amelia Labor & Postpartum Gown in Sage","Sage / Full Figure","2026-02-09","14","0"
"Robes in Black","Laura Robe / Long","2026-02-09","-1","3"
"Finley Romper in Black","Black / 6-9 Months","2026-02-09","27","0"
"Robes in Deep Teal","Laura Robe / Long","2026-02-09","-15","3"
"Robes in Vintage Floral","Laura Robe / Long","2026-02-09","198","19"
"Finley Romper in Lilac","Lilac / 3-6 Months","2026-02-09","19","0"
"Finley Romper in Periwinkle","Periwinkle / 6-9 Months","2026-02-09","45","0"
"Robes in Midnight Blue","Mia Robe / Short","2026-02-09","7","1"
"Lila Labor & Postpartum Gown in Black","Black / Curve","2026-02-09","68","0"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","2026-02-09","3","7"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Small","2026-02-09","27","3"
"Finley Romper in Sage","Sage / Newborn","2026-02-09","-2","0"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","2026-02-09","0","0"
"Lila Labor & Postpartum Gown in Black","Black / Full Figure","2026-02-09","147","16"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","2026-02-09","-14","6"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","2026-02-09","13","4"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Extra Large","2026-02-09","0","3"
"Finley Romper in Black","Black / Newborn","2026-02-09","4","2"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","2XL","2026-02-09","10","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","2026-02-09","-4","0"
"Robes in Plum","Mia Robe / Short","2026-02-09","-5","0"
"Finley Romper in Sage","Sage / 6-9 Months","2026-02-09","19","1"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","2026-02-09","14","2"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","2026-02-09","71","18"
"Finley Romper in Midnight Blue","Midnight Blue / 6-9 Months","2026-02-09","28","0"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Curve","2026-02-09","0","2"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Standard","2026-02-09","2","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Standard","2026-02-09","81","43"
"Robes in Dusty Rose","Laura Robe / Long","2026-02-09","-3","1"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","2026-02-09","70","8"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","2XL","2026-02-09","-1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Extra Large","2026-02-09","27","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Large","2026-02-09","1","2"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","2026-02-09","2","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","2XL","2026-02-09","10","1"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Standard","2026-02-09","31","2"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","2026-02-09","9","0"
"Finley Romper in Periwinkle","Periwinkle / Newborn","2026-02-09","5","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Small","2026-02-09","32","1"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","2026-02-09","-1","1"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Curve","2026-02-09","11","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Large","2026-02-09","-1","2"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","2026-02-09","6","17"
"Robes in Emerald","Laura Robe / Long","2026-02-09","0","0"
"Robes in Deep Teal","Laura Robe/ Long / Full Figure One Size / Deep Teal","2026-02-09","0","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Standard","2026-02-09","4","33"
"Robes in Sage","Mia Robe / Short","2026-02-09","-2","5"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","2026-02-09","94","17"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","2026-02-09","3","9"
"Finley Romper in Midnight Blue","Midnight Blue / 16-24 Months","2026-02-09","25","0"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","2026-02-09","12","0"
"Amelia Labor & Postpartum Gown Lilac","Full Figure","2026-02-09","1","0"
"Robes in Plum","Laura Robe / Long","2026-02-09","-14","0"
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","2026-02-09","64","0"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","2026-02-09","27","0"
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","2026-02-09","10","4"
"Lila Labor & Postpartum Gown in Sage","Sage / Slim Petite","2026-02-09","-2","2"
"Finley Romper in Emerald","Emerald / Newborn","2026-02-09","-4","2"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","2026-02-09","-1","3"
"Finley Romper in Dusty Rose","Dusty Rose / Newborn","2026-02-09","33","0"
"Baby Swaddle Set: Emerald","Hat & Bow","2026-02-09","82","1"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","2026-02-09","12","13"
"Baby Swaddle Set: Sage","Hat & Bow","2026-02-09","-14","1"
"Amelia Labor & Postpartum Gown Lilac","Petite","2026-02-09","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","2026-02-09","12","1"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","2026-02-09","4","0"
"Baby Swaddle Set: Midnight Blue","Hat & Bow","2026-02-09","170","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","2026-02-09","61","11"
"Lila Labor & Postpartum Gown in Black","Black / Standard","2026-02-09","293","14"
"Baby Swaddle Set: Lilac","Hat & Bow","2026-02-09","38","0"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","2026-02-09","-2","0"
"Robes in Vintage Floral","Mia Robe / Short","2026-02-09","-5","0"
